TRANSACTION_ID,CUSTOMER_ID,AMOUNT,TRANSACTION_DATE,STATUS
1,7271,2665.8,2023-01-01,SUCCESS
2,861,483.53,2023-10-19,FAILED
3,5391,3098.32,2022-12-14,SUCCESS
4,5192,4720.32,2023-09-15,SUCCESS
5,5735,3614.91,2024-03-03,SUCCESS
6,6266,1076.6,2022-03-13,SUCCESS
7,467,4855.83,2024-04-24,FAILED
8,4427,1538.9,2024-01-03,SUCCESS
9,5579,2185.89,2024-02-24,SUCCESS
10,8323,2493.09,2023-05-02,SUCCESS
11,1686,4953.64,2023-08-13,SUCCESS
12,770,349.11,2023-07-02,SUCCESS
13,6950,3485.16,2022-09-26,SUCCESS
14,2434,1812.84,2022-09-27,SUCCESS
15,5312,396.23,2022-03-05,SUCCESS
16,5052,4675.48,2024-01-03,SUCCESS
17,6421,2951.34,2024-11-19,SUCCESS
18,1185,3768.82,2023-08-05,SUCCESS
19,4556,1205.73,2023-08-28,SUCCESS
20,3386,3808.9,2022-12-20,SUCCESS
21,6397,4143.23,2023-09-02,SUCCESS
22,8667,2156.99,2022-10-25,FAILED
23,9275,2861.92,2022-06-27,SUCCESS
24,2559,4859.5,2024-05-18,SUCCESS
25,7850,4234.41,2022-04-09,SUCCESS
26,2048,2227.03,2023-03-09,SUCCESS
27,2748,3324.55,2024-07-20,SUCCESS
28,9168,3922.24,2023-05-11,FAILED
29,9999,126.52,2024-03-02,SUCCESS
30,190,2943.89,2023-03-30,SUCCESS
31,2735,4922.72,2025-01-20,SUCCESS
32,3006,4736.17,2022-12-24,SUCCESS
33,4659,4163.04,2023-08-26,SUCCESS
34,1900,535.54,2023-01-26,SUCCESS
35,7735,4970.24,2022-06-17,SUCCESS
36,1268,3049.64,2023-07-22,SUCCESS
37,1529,1118.43,2023-05-07,SUCCESS
38,3557,3372.97,2023-05-10,FAILED
39,3891,4283.34,2025-01-08,SUCCESS
40,8839,566.08,2023-09-02,SUCCESS
41,5394,4582.61,2022-06-02,SUCCESS
42,8793,4601.42,2022-03-21,SUCCESS
43,8434,72.25,2023-02-28,SUCCESS
44,7514,4502.09,2023-07-13,SUCCESS
45,2613,4734.36,2023-01-30,SUCCESS
46,7042,193.27,2024-12-29,PENDING
47,9556,1474.36,2024-05-06,SUCCESS
48,6236,1868.67,2023-03-14,SUCCESS
49,5487,1747.71,2023-09-01,PENDING
50,7100,3796.22,2022-04-08,SUCCESS
51,9671,1793.73,2024-06-02,SUCCESS
52,776,4783.11,2024-11-06,SUCCESS
53,8227,4974.99,2023-03-22,SUCCESS
54,3153,1587.51,2024-07-06,SUCCESS
55,1586,2546.46,2024-09-05,SUCCESS
56,3944,2790.74,2022-03-04,SUCCESS
57,7556,2899.12,2023-05-30,SUCCESS
58,3074,1874.17,2023-10-15,SUCCESS
59,1022,834.14,2023-11-24,SUCCESS
60,3844,277.53,2024-08-19,SUCCESS
61,7990,536.21,2023-06-21,SUCCESS
62,9693,4506.95,2023-04-30,SUCCESS
63,6874,1405.47,2023-12-09,SUCCESS
64,5676,388.73,2024-12-29,SUCCESS
65,162,3119.53,2024-06-10,SUCCESS
66,4298,381.16,2023-08-11,SUCCESS
67,996,354.91,2025-02-09,SUCCESS
68,7630,3109.74,2025-02-25,SUCCESS
69,9468,2959.02,2023-11-15,FAILED
70,1017,212.18,2022-09-09,SUCCESS
71,7870,2305.09,2022-11-01,SUCCESS
72,6440,2181.66,2024-08-30,SUCCESS
73,7893,2735.71,2024-06-24,SUCCESS
74,6864,3690.53,2024-10-12,SUCCESS
75,7917,1417.59,2024-06-14,SUCCESS
76,8530,2166.74,2023-05-26,SUCCESS
77,879,3964.75,2023-03-10,SUCCESS
78,9269,4613.17,2024-05-07,SUCCESS
79,4888,4457.16,2022-04-15,SUCCESS
80,4860,2390.77,2024-06-22,SUCCESS
81,6332,2606.72,2023-02-10,SUCCESS
82,8572,2647.88,2022-08-12,SUCCESS
83,8685,4344.23,2023-04-01,SUCCESS
84,7209,4200.5,2024-01-04,PENDING
85,5277,1561.1,2024-10-07,SUCCESS
86,2063,818.43,2025-01-14,SUCCESS
87,65,1897.98,2024-08-30,SUCCESS
88,8007,1445.59,2025-01-24,SUCCESS
89,2569,4754.15,2022-04-16,SUCCESS
90,5464,1333.25,2022-09-19,PENDING
91,2028,910.13,2024-09-12,SUCCESS
92,2696,4497.9,2024-07-24,SUCCESS
93,9688,436.96,2022-11-29,SUCCESS
94,5259,1305.03,2024-04-10,SUCCESS
95,5619,2198.36,2023-12-21,FAILED
96,6737,2977.56,2023-08-23,SUCCESS
97,392,1641.73,2023-06-29,SUCCESS
98,5893,2483.69,2024-04-23,SUCCESS
99,3562,998.16,2024-07-20,SUCCESS
100,6185,2873.5,2024-01-04,FAILED
101,3100,2042.04,2024-02-24,FAILED
102,6279,4247.05,2022-08-31,SUCCESS
103,8393,2081.59,2023-08-07,SUCCESS
104,3105,2221.86,2024-01-20,SUCCESS
105,7216,2962.91,2022-10-25,SUCCESS
106,2455,620.23,2024-06-18,SUCCESS
107,8997,788.19,2025-02-13,SUCCESS
108,2732,3952.24,2024-01-17,FAILED
109,8155,1370.73,2023-09-01,SUCCESS
110,9763,3425.06,2022-05-20,SUCCESS
111,5057,491.65,2024-03-14,SUCCESS
112,8111,4110.12,2023-10-03,PENDING
113,3841,4941.2,2024-02-23,SUCCESS
114,1029,1871.59,2025-01-29,SUCCESS
115,7386,2530.12,2023-03-28,SUCCESS
116,503,2216.35,2023-07-23,SUCCESS
117,6911,4471.47,2022-09-17,SUCCESS
118,9063,54.62,2022-06-15,SUCCESS
119,6939,3269.03,2024-11-11,SUCCESS
120,4489,3263.58,2023-01-08,SUCCESS
121,207,1915.01,2022-08-05,SUCCESS
122,5135,1100.57,2023-05-14,SUCCESS
123,5978,1202.21,2024-09-13,SUCCESS
124,7722,4003.32,2023-07-19,FAILED
125,7036,335.18,2024-03-05,SUCCESS
126,1485,2821.3,2022-03-20,SUCCESS
127,7859,1537.67,2024-10-04,SUCCESS
128,864,1329.91,2022-09-13,SUCCESS
129,2791,2531.16,2023-09-25,SUCCESS
130,7409,4489.82,2024-09-09,SUCCESS
131,8756,3092.37,2024-11-23,SUCCESS
132,5117,3944.11,2023-06-25,PENDING
133,6020,3005.42,2024-06-22,FAILED
134,1758,3490.09,2023-01-06,SUCCESS
135,7575,2164.88,2022-03-19,SUCCESS
136,6375,4630.28,2024-04-20,FAILED
137,6893,2512.19,2023-03-07,FAILED
138,1679,2761.11,2023-02-24,SUCCESS
139,3243,2627.2,2022-05-07,SUCCESS
140,4637,1584.36,2022-06-29,SUCCESS
141,1060,1160.04,2022-08-09,SUCCESS
142,6669,373.81,2024-11-24,SUCCESS
143,9915,3592.28,2022-11-06,SUCCESS
144,3158,1449.93,2024-08-30,SUCCESS
145,5916,1949.04,2024-06-27,SUCCESS
146,9790,4600.04,2024-04-17,FAILED
147,2694,2834.4,2022-12-26,SUCCESS
148,3628,489.9,2022-06-04,SUCCESS
149,9556,3999.06,2023-07-10,SUCCESS
150,5451,1284.37,2022-03-04,SUCCESS
151,1664,2765.77,2023-04-05,FAILED
152,9722,2552.36,2023-06-07,SUCCESS
153,5593,1194.2,2024-07-09,FAILED
154,7393,583.28,2023-11-02,FAILED
155,1307,1060.25,2024-12-16,SUCCESS
156,6777,491.2,2024-07-12,SUCCESS
157,5865,1381.76,2024-05-16,SUCCESS
158,9475,4986.5,2024-10-02,SUCCESS
159,7527,2013.45,2023-02-20,FAILED
160,8902,4320.12,2023-03-18,SUCCESS
161,5576,2748.14,2022-07-27,SUCCESS
162,5531,3334.58,2025-01-15,FAILED
163,4414,785.96,2023-11-15,SUCCESS
164,3749,1377.66,2024-02-14,SUCCESS
165,664,2554.66,2022-05-22,SUCCESS
166,1999,4406.31,2023-08-31,SUCCESS
167,7995,219.23,2022-03-02,SUCCESS
168,1496,2537.07,2025-01-18,PENDING
169,3305,259.81,2023-05-02,SUCCESS
170,3764,2286.83,2022-05-28,SUCCESS
171,5233,3146.2,2022-03-21,SUCCESS
172,1854,3724.89,2023-10-03,FAILED
173,6586,696.97,2024-11-22,FAILED
174,1292,837.04,2025-02-03,SUCCESS
175,3582,2352.97,2023-11-05,FAILED
176,7555,4990.19,2023-07-22,SUCCESS
177,7281,1783.45,2022-03-08,SUCCESS
178,1637,2140.5,2024-02-22,SUCCESS
179,3697,2165.07,2023-10-28,SUCCESS
180,699,408.1,2022-12-09,FAILED
181,4738,3871.99,2024-07-21,SUCCESS
182,855,1269.24,2023-05-28,SUCCESS
183,8165,3519.82,2024-02-24,SUCCESS
184,5856,2378.07,2023-06-15,SUCCESS
185,7393,3060.84,2025-01-19,SUCCESS
186,6529,274.59,2024-07-28,SUCCESS
187,5250,4450.38,2022-06-13,SUCCESS
188,5173,1223.06,2024-02-18,SUCCESS
189,1708,3352.13,2023-06-29,SUCCESS
190,5792,3991.11,2022-08-07,SUCCESS
191,9926,2702.49,2022-05-03,SUCCESS
192,5536,1689.98,2024-09-18,SUCCESS
193,4932,4889.63,2023-03-17,SUCCESS
194,3511,1395.81,2025-01-29,SUCCESS
195,203,4743.57,2023-08-13,FAILED
196,4219,785.34,2024-02-04,SUCCESS
197,8959,1949.16,2023-10-30,SUCCESS
198,4390,696.79,2024-04-19,SUCCESS
199,2328,16.19,2023-05-28,SUCCESS
200,8005,1304.99,2022-06-24,SUCCESS
201,2932,440.62,2022-08-08,SUCCESS
202,7778,4931.8,2023-10-03,SUCCESS
203,198,3809.46,2022-08-26,SUCCESS
204,7126,23.51,2023-05-27,SUCCESS
205,1931,1122.11,2022-08-03,SUCCESS
206,6288,3352.27,2024-11-09,SUCCESS
207,8801,1995.77,2023-01-19,SUCCESS
208,9340,4160.05,2023-05-13,SUCCESS
209,4283,2526.78,2023-08-18,SUCCESS
210,2512,3269.99,2023-03-09,SUCCESS
211,9987,2987.2,2023-05-05,SUCCESS
212,660,3192.65,2024-06-10,PENDING
213,2812,1154.34,2024-06-03,SUCCESS
214,7099,1869.58,2023-08-24,SUCCESS
215,6547,257.89,2024-08-16,SUCCESS
216,9562,2940.24,2023-10-21,PENDING
217,1987,2299.0,2024-04-16,SUCCESS
218,8339,3804.78,2024-08-25,SUCCESS
219,2912,1035.88,2024-08-29,SUCCESS
220,1735,2186.88,2023-01-10,SUCCESS
221,1844,907.82,2024-12-01,SUCCESS
222,8681,3071.83,2024-06-10,SUCCESS
223,2977,4240.91,2025-01-31,FAILED
224,1960,3828.39,2024-10-24,SUCCESS
225,5760,4721.27,2024-05-28,SUCCESS
226,6695,4858.77,2022-08-11,SUCCESS
227,2386,3861.31,2023-10-22,SUCCESS
228,4737,1437.6,2022-06-10,SUCCESS
229,1803,1100.21,2024-03-25,PENDING
230,8156,2240.51,2024-10-07,SUCCESS
231,8121,4969.45,2022-06-26,SUCCESS
232,6617,2066.28,2022-08-21,SUCCESS
233,5535,999.35,2023-07-31,SUCCESS
234,4062,4721.99,2024-04-13,PENDING
235,263,1932.66,2023-10-30,SUCCESS
236,6288,3456.04,2023-12-30,FAILED
237,8816,3941.82,2022-05-26,SUCCESS
238,9209,4216.56,2023-11-29,SUCCESS
239,2050,4107.3,2023-12-20,SUCCESS
240,5424,4182.05,2024-08-22,PENDING
241,4549,3339.93,2022-04-16,SUCCESS
242,3109,2022.14,2022-10-18,FAILED
243,7159,3338.1,2024-06-27,SUCCESS
244,7401,4184.49,2022-05-14,SUCCESS
245,3171,1756.46,2025-01-06,SUCCESS
246,9875,1486.06,2022-04-25,SUCCESS
247,2256,1721.82,2023-03-29,SUCCESS
248,1155,2758.66,2022-06-21,SUCCESS
249,4500,266.96,2025-02-22,SUCCESS
250,6296,3895.96,2024-05-03,SUCCESS
251,6198,698.57,2023-03-25,SUCCESS
252,9889,668.53,2022-08-05,FAILED
253,1649,992.31,2023-12-27,SUCCESS
254,5540,2886.75,2025-01-29,SUCCESS
255,9638,1431.41,2022-06-24,SUCCESS
256,4200,1843.61,2023-08-20,SUCCESS
257,8446,4658.59,2022-06-29,FAILED
258,2558,4236.77,2024-12-11,SUCCESS
259,5593,4261.69,2023-01-27,SUCCESS
260,99,2890.32,2025-01-21,SUCCESS
261,2201,4333.0,2023-03-23,SUCCESS
262,2962,3893.94,2022-05-19,PENDING
263,4974,4766.42,2022-11-17,SUCCESS
264,4434,326.52,2024-08-18,SUCCESS
265,2870,148.49,2022-03-14,SUCCESS
266,957,879.27,2022-07-23,SUCCESS
267,8353,4645.78,2024-04-04,SUCCESS
268,5700,3029.8,2023-08-09,SUCCESS
269,6945,2133.43,2024-07-13,SUCCESS
270,4494,2565.99,2023-10-10,SUCCESS
271,9493,4148.87,2025-01-20,SUCCESS
272,4912,4645.9,2023-07-06,SUCCESS
273,3988,3649.85,2024-08-29,SUCCESS
274,9720,3800.44,2022-05-03,SUCCESS
275,6016,1605.29,2022-05-05,SUCCESS
276,1219,2337.84,2024-10-01,SUCCESS
277,4497,4426.62,2025-02-26,PENDING
278,4736,3930.74,2024-08-03,FAILED
279,4556,3422.93,2024-10-31,SUCCESS
280,9147,330.91,2024-11-13,FAILED
281,8051,202.34,2023-03-13,SUCCESS
282,3447,656.4,2024-02-19,SUCCESS
283,1046,2909.05,2023-06-11,SUCCESS
284,6894,2684.25,2024-12-09,PENDING
285,1694,4713.74,2024-06-10,SUCCESS
286,3437,3475.32,2025-02-08,SUCCESS
287,8755,1473.39,2024-07-16,SUCCESS
288,5896,811.67,2023-02-23,SUCCESS
